opponent
det
oti
cle
kan
was
pit
buf
cle
pit
nor
sdg
oti
nwe
pit
gnb
mia
cle
rai
oti
atl
den
oti
sdg
cle
pit
nyj
pit
cle
den
kan
ram
oti
pit
rai
clt
chi
nyg
cle
oti
oti
sdg
cle
pit
kan
pit
dal
buf
nyj
crd
min
cle
oti
sdg
sfo
was
cle
rai
oti
clt
pit
oti
kan
mia
det
pit
nor
oti
nwe
rai
atl
pit
den
buf
cle
oti
phi
pit
sdg
clt
gnb
cle
tam
pit
oti
cle
ram
oti
kan
pit
rai
nyj
sea
sdg
gnb
pit
den
oti
cle
min
mia
nyg
kan
pit
oti
cle
pit
nor
sfo
mia
nwe
buf
oti
sdg
rai
pit
oti
atl
ram
cle
buf
nwe
oti
dal
kan
pit
cle
phi
clt
sdg
oti
crd
pit
was
cle
mia
pit
oti
gnb
pit
min
oti
sdg
rai
buf
cle
kan
clt
chi
cle
nyj
cle
buf
oti
clt
pit
nor
oti
sdg
ram
den
cle
sfo
pit
atl
pit
phi
rai
clt
cle
sdg
sea
oti
buf
cle
tam
clt
pit
den
cle
gnb
oti
kan
oti
mia
pit
det
min
kan
nyj
ram
pit
oti
nwe
cle
oti
sfo
pit
sea
atl
cle
nor
buf
crd
sdg
pit
nyj
nyg
oti
pit
buf
cle
rai
cle
oti
dal
was
nwe
buf
cle
chi
gnb
pit
oti
pit
det
oti
sea
min
den
nwe
cle
nyj
sfo
sdg
sea
cle
pit
oti
mia
atl
pit
nyj
kan
cle
nor
oti
phi
pit
cle
rai
nyj
nwe
oti
cle
pit
kan
dal
buf
sdg
oti
was
pit
cle
kan
pit
mia
clt
tam
rai
oti
det
buf
cle
sea
oti
min
sdg
nwe
sea
ram
oti
cle
atl
nor
pit
clt
pit
sfo
rai
oti
cle
oti
cle
was
sea
dal
buf
oti
cle
pit
phi
rai
nyg
mia
pit
nwe
rai
gnb
min
oti
pit
oti
cle
chi
nyj
det
pit
cle
sdg
nwe
clt
clt
pit
sea
kan
cle
oti
pit
oti
nyj
rai
sfo
nwe
ram
atl
nor
sdg
nwe
oti
mia
pit
cle
dal
sea
oti
clt
den
pit
nyg
crd
phi
jax
sea
oti
mia
tam
pit
cle
rai
oti
pit
jax
gnb
chi
cle
min
sdg
nor
den
oti
pit
sfo
jax
rav
pit
buf
atl
jax
rav
oti
clt
rav
den
nyj
jax
oti
pit
nyg
sdg
clt
pit
jax
phi
oti
dal
rav
det
gnb
rav
pit
oti
rai
den
jax
min
rav
jax
buf
clt
pit
tam
sdg
car
ram
cle
pit
clt
jax
sea
oti
rav
pit
sfo
cle
rav
jax
jax
rav
mia
oti
pit
den
cle
rav
dal
nwe
pit
crd
oti
jax
phi
rav
sdg
pit
cle
chi
det
jax
oti
cle
tam
jax
nyj
rav
pit
oti
cle
atl
tam
clt
pit
oti
htx
rav
cle
pit
rav
car
jax
nor
buf
rai
pit
cle
buf
rav
sea
crd
htx
kan
sdg
pit
rav
sfo
ram
cle
mia
rav
pit
cle
den
oti
dal
was
pit
cle
rav
nwe
buf
nyg
phi
min
chi
htx
jax
oti
pit
gnb
rav
clt
rav
pit
cle
det
buf
kan
cle
pit
nwe
tam
car
atl
rav
sdg
nor
cle
rav
rai
clt
den
pit
cle
sea
nwe
kan
nyj
pit
buf
rav
crd
oti
pit
ram
sfo
cle
mia
oti
nyg
cle
dal
nyj
pit
htx
jax
phi
pit
rav
clt
was
cle
kan
gnb
pit
cle
rav
htx
chi
rav
pit
rai
cle
det
min
sdg
kan
nyj
rav
car
cle
tam
atl
mia
pit
clt
buf
nyj
nor
pit
cle
sdg
rav
den
sfo
buf
jax
clt
sea
oti
pit
rav
cle
pit
htx
ram
crd
rav
cle
was
jax
mia
cle
pit
den
nyg
kan
rai
sdg
dal
phi
pit
rav
pit
gnb
cle
nwe
buf
det
nyj
mia
rav
cle
sdg
clt
pit
min
rav
atl
oti
nwe
car
clt
rav
jax
cle
nor
htx
tam
pit
cle
den
pit
sdg
rav
kan
sea
buf
pit
cle
htx
crd
ram
cle
pit
sfo
den
rav
pit
den
mia
dal
nwe
cle
was
nyg
buf
rav
phi
cle
pit
htx
rav
htx
gnb
cle
buf
pit
clt
jax
oti
den
cle
pit
chi
min
det
rav
rav
car
atl
mia
pit
kan
tam
nor
rav
cle
den
sdg
rai
cle
pit
sfo
buf
pit
crd
rav
jax
ram
rav
rai
pit
nyj
cle
nwe
mia
cle
cle
phi
jax
rav
clt
cle
oti
pit
was
nyg
mia
dal
pit
htx
rav
chi
pit
jax
gnb
det
rav
nyj
cle
rai
pit
sdg
sfo
den
rav
kan
cle
