opponent
crd
buf
sdg
sfo
gnb
min
nor
atl
nyj
atl
sfo
nor
det
nyg
nor
atl
chi
sfo
atl
gnb
mia
clt
det
sfo
dal
nor
was
pit
nor
chi
atl
sfo
phi
cin
rai
atl
den
min
nor
sfo
crd
det
kan
atl
sfo
oti
dal
gnb
min
atl
nor
sfo
nor
chi
nyg
cle
den
nor
nwe
det
gnb
sfo
nyj
sfo
atl
nor
min
atl
was
buf
dal
sfo
clt
sdg
atl
nor
phi
sfo
atl
chi
det
nor
gnb
pit
atl
min
nyg
mia
sfo
chi
nor
sea
cin
crd
sfo
nor
atl
det
atl
phi
sfo
chi
nor
min
nor
tam
gnb
sfo
cle
rai
atl
was
phi
atl
dal
oti
nor
sfo
min
nor
atl
tam
pit
sfo
cle
nyg
cin
gnb
rai
den
sfo
tam
crd
nor
dal
sdg
nyg
sea
chi
atl
sfo
min
atl
nor
det
tam
gnb
nyg
sfo
crd
sfo
atl
nor
mia
nwe
nor
nyj
buf
dal
atl
oti
nor
gnb
chi
cle
atl
dal
sfo
det
nor
cin
sfo
pit
nyg
atl
was
gnb
det
atl
kan
sfo
den
rai
chi
sfo
nyg
nor
gnb
nyj
det
sfo
atl
sfo
mia
chi
atl
was
buf
phi
nwe
nor
dal
cle
pit
cin
nyg
atl
nor
atl
sfo
crd
chi
gnb
tam
nor
oti
sfo
den
phi
sea
atl
min
tam
kan
sfo
nor
nyg
atl
gnb
nor
sfo
crd
rai
crd
sfo
clt
phi
tam
atl
det
atl
chi
nor
nwe
nor
nyj
dal
mia
sfo
oti
min
nor
pit
atl
cle
sfo
nor
crd
was
tam
det
atl
dal
sfo
gnb
det
rai
nyg
crd
atl
sfo
sea
nor
phi
nor
sdg
den
chi
atl
sfo
atl
clt
gnb
sfo
atl
buf
nor
chi
min
nyg
crd
nor
dal
sfo
nyj
nwe
gnb
tam
phi
cin
chi
atl
pit
oti
nyg
dal
sfo
cle
nor
sfo
atl
nor
crd
nyg
nor
sfo
gnb
sdg
rai
atl
nor
kan
det
sfo
was
atl
min
sea
buf
nwe
mia
nyj
sfo
nor
nyg
atl
crd
dal
sfo
min
tam
nor
gnb
atl
gnb
pit
nyg
oti
nor
atl
det
sfo
atl
was
sfo
crd
nor
cin
cle
chi
crd
atl
sfo
kan
atl
gnb
nyg
nor
den
rai
sfo
sdg
nor
tam
chi
was
gnb
nor
car
chi
clt
atl
sfo
phi
nor
car
atl
sfo
nyj
buf
was
mia
cin
sfo
was
crd
sfo
car
jax
rav
pit
atl
car
gnb
nor
chi
atl
nor
nor
sfo
den
nyg
rai
sfo
sea
kan
atl
gnb
atl
car
was
nor
chi
car
nor
min
buf
crd
nyj
mia
sfo
atl
chi
nor
car
atl
phi
nwe
car
sfo
rav
atl
cin
sfo
atl
cle
oti
det
car
sfo
nor
car
nor
nyg
chi
phi
den
sea
sfo
atl
sdg
atl
kan
sfo
car
nyg
was
nor
car
min
tam
nor
phi
sfo
mia
det
nyg
nyj
nor
car
nwe
tam
atl
sfo
nor
car
clt
atl
den
nyg
tam
dal
sfo
rai
sea
crd
sdg
chi
was
phi
kan
crd
sea
sfo
nyg
sfo
sea
crd
atl
gnb
pit
sfo
rav
chi
crd
min
cle
sea
cin
det
crd
atl
nor
sfo
sea
tam
mia
nwe
sea
buf
gnb
sfo
car
crd
phi
nyj
sfo
crd
oti
nyg
sea
clt
nor
jax
sea
crd
htx
was
min
phi
sfo
dal
den
sfo
crd
det
gnb
sea
sdg
kan
sea
car
sfo
crd
chi
rai
was
min
car
sfo
tam
dal
crd
rav
sea
cle
nor
sfo
sea
atl
cin
gnb
pit
crd
phi
nyg
sea
buf
was
dal
nwe
crd
nyj
sfo
chi
mia
crd
sea
sfo
atl
sea
was
gnb
sfo
min
jax
clt
det
nor
crd
sea
chi
oti
htx
crd
sfo
crd
rai
was
sea
det
sdg
tam
car
sfo
atl
den
crd
nor
kan
sfo
sea
phi
nyg
rav
was
gnb
dal
nor
crd
cle
sea
crd
sfo
sea
cin
pit
sfo
det
was
chi
sea
crd
mia
gnb
nwe
sfo
nyj
crd
sfo
buf
min
tam
sea
crd
atl
dal
sfo
jax
htx
car
sea
oti
clt
chi
sfo
crd
nor
tam
sea
min
tam
dal
phi
sfo
sea
kan
sfo
crd
den
sdg
rai
was
crd
nyg
sea
sea
was
pit
crd
gnb
cle
sfo
min
chi
rav
cin
crd
det
tam
sea
sfo
sfo
sea
tam
crd
buf
det
nyg
car
nyj
mia
nor
nwe
atl
sea
sfo
crd
clt
was
sfo
dal
sea
jax
crd
nyg
htx
min
nor
crd
phi
sea
oti
sfo
rai
crd
sdg
min
sea
den
sfo
gnb
nor
sea
kan
det
chi
phi
crd
sfo
car
nor
cle
tam
sea
sfo
atl
cin
pit
chi
rav
crd
sea
dal
sfo
crd
dal
phi
buf
nyg
was
sfo
chi
mia
sea
tam
sfo
crd
nwe
nyj
sea
crd
chi
clt
tam
crd
sea
nyg
det
htx
oti
sfo
gnb
jax
crd
sea
min
rav
sfo
